method,seed,image_id,keypoint_id,coarse_x,coarse_y,final_x,final_y,num_votes,num_reliable,mean_vote_distance,median_vote_distance,fallback
A4,0,1,3,400.2054,125.0262,400.2054,125.0262,99,99,0.6433,0.6250,
A4,0,1,4,369.3352,104.2748,369.3352,104.2748,99,99,0.4937,0.4108,
A4,0,1,5,387.0230,158.6620,387.0230,158.6620,99,99,0.5113,0.4899,
A4,0,1,6,363.3771,154.3160,363.3771,154.3160,99,99,0.3526,0.3011,
A4,0,1,7,360.9481,114.9050,360.9481,114.9050,99,99,0.3176,0.1919,
A4,0,1,8,374.9403,129.4588,374.9403,129.4588,99,99,0.3015,0.2286,
A6,0,1,0,403.9626,145.9633,403.9626,145.9633,99,99,0.5243,0.3396,
A6,0,1,1,344.8037,121.7484,344.8037,121.7484,99,99,0.6629,0.5012,
A6,0,1,2,369.0951,140.3059,369.0951,140.3059,99,99,0.4020,0.3362,
A6,0,1,3,400.2054,125.0262,400.2054,125.0262,99,99,0.6433,0.6250,
A6,0,1,4,369.3352,104.2748,369.3352,104.2748,99,99,0.4937,0.4108,
A6,0,1,5,387.0230,158.6620,387.0230,158.6620,99,99,0.5113,0.4899,
A6,0,1,6,363.3771,154.3160,363.3771,154.3160,99,99,0.3526,0.3011,
A6,0,1,7,360.9481,114.9050,360.9481,114.9050,99,99,0.3176,0.1919,
A6,0,1,8,374.9403,129.4588,374.9403,129.4588,99,99,0.3015,0.2286,
B4,0,1,0,403.9626,145.9633,403.9454,145.9732,99,99,0.5243,0.3396,
B4,0,1,1,344.8037,121.7484,344.7920,121.7484,99,99,0.6629,0.5012,
B4,0,1,2,369.0951,140.3059,369.0953,140.3050,99,99,0.4020,0.3362,
B4,0,1,3,400.2054,125.0262,400.2090,125.0255,99,99,0.6433,0.6250,
B4,0,1,4,369.3352,104.2748,369.3288,104.2727,99,99,0.4937,0.4108,
B4,0,1,5,387.0230,158.6620,387.0228,158.6600,99,99,0.5113,0.4899,
B4,0,1,6,363.3771,154.3160,363.3773,154.3146,99,99,0.3526,0.3011,
B4,0,1,7,360.9481,114.9050,360.9460,114.9067,99,99,0.3176,0.1919,
B4,0,1,8,374.9403,129.4588,374.9400,129.4584,99,99,0.3015,0.2286,
baseline,0,2,0,406.3094,131.9254,406.3094,131.9254,0,0,-1.0000,-1.0000,
baseline,0,2,1,346.3756,111.7538,346.3756,111.7538,0,0,-1.0000,-1.0000,
baseline,0,2,2,370.4599,121.7860,370.4599,121.7860,0,0,-1.0000,-1.0000,
baseline,0,2,3,402.5305,118.3530,402.5305,118.3530,0,0,-1.0000,-1.0000,
baseline,0,2,4,371.5807,95.9553,371.5807,95.9553,0,0,-1.0000,-1.0000,
baseline,0,2,5,388.8789,147.8149,388.8789,147.8149,0,0,-1.0000,-1.0000,
baseline,0,2,6,365.3628,139.9350,365.3628,139.9350,0,0,-1.0000,-1.0000,
baseline,0,2,7,362.5691,101.2460,362.5691,101.2460,0,0,-1.0000,-1.0000,
baseline,0,2,8,376.8834,118.5771,376.8834,118.5771,0,0,-1.0000,-1.0000,
A4,0,2,0,406.3094,131.9254,406.3094,131.9254,97,97,0.5524,0.3644,
A4,0,2,1,346.3756,111.7538,346.3756,111.7538,97,97,0.7886,0.5652,
A4,0,2,2,370.4599,121.7860,370.4599,121.7860,97,97,0.4059,0.3151,
A4,0,2,3,402.5305,118.3530,402.5305,118.3530,97,97,0.7267,0.5613,
A4,0,2,4,371.5807,95.9553,371.5807,95.9553,97,97,0.7169,0.7136,
A4,0,2,5,388.8789,147.8149,388.8789,147.8149,97,97,0.5040,0.3966,
A4,0,2,6,365.3628,139.9350,365.3628,139.9350,97,97,0.4275,0.3556,
A4,0,2,7,362.5691,101.2460,362.5691,101.2460,97,97,0.4240,0.2533,
A4,0,2,8,376.8834,118.5771,376.8834,118.5771,97,97,0.2417,0.2017,
A6,0,2,0,406.3094,131.9254,406.3094,131.9254,97,97,0.5524,0.3644,
A6,0,2,1,346.3756,111.7538,346.3756,111.7538,97,97,0.7886,0.5652,
A6,0,2,2,370.4599,121.7860,370.4599,121.7860,97,97,0.4059,0.3151,
A6,0,2,3,402.5305,118.3530,402.5305,118.3530,97,97,0.7267,0.5613,
A6,0,2,4,371.5807,95.9553,371.5807,95.9553,97,97,0.7169,0.7136,
A6,0,2,5,388.8789,147.8149,388.8789,147.8149,97,97,0.5040,0.3966,
A6,0,2,6,365.3628,139.9350,365.3628,139.9350,97,97,0.4275,0.3556,
A6,0,2,7,362.5691,101.2460,362.5691,101.2460,97,97,0.4240,0.2533,
A6,0,2,8,376.8834,118.5771,376.8834,118.5771,97,97,0.2417,0.2017,
B4,0,2,0,406.3094,131.9254,406.2924,131.9328,97,97,0.5524,0.3644,
B4,0,2,1,346.3756,111.7538,346.3863,111.7857,97,97,0.7886,0.5652,
B4,0,2,2,370.4599,121.7860,370.4613,121.7862,97,97,0.4059,0.3151,
B4,0,2,3,402.5305,118.3530,402.5432,118.3436,97,97,0.7267,0.5613,
B4,0,2,4,371.5807,95.9553,371.5643,95.9425,97,97,0.7169,0.7136,
B4,0,2,5,388.8789,147.8149,388.8806,147.8264,97,97,0.5040,0.3966,
B4,0,2,6,365.3628,139.9350,365.3594,139.9408,97,97,0.4275,0.3556,
B4,0,2,7,362.5691,101.2460,362.5648,101.2462,97,97,0.4240,0.2533,
B4,0,2,8,376.8834,118.5771,376.8836,118.5763,97,97,0.2417,0.2017,
baseline,0,3,0,410.4077,103.0919,410.4077,103.0919,0,0,-1.0000,-1.0000,
baseline,0,3,1,345.0909,91.1911,345.0909,91.1911,0,0,-1.0000,-1.0000,
baseline,0,3,2,370.6611,97.4126,370.6611,97.4126,0,0,-1.0000,-1.0000,
baseline,0,3,3,405.9328,90.1238,405.9328,90.1238,0,0,-1.0000,-1.0000,
baseline,0,3,4,370.5307,71.4859,370.5307,71.4859,0,0,-1.0000,-1.0000,
baseline,0,3,5,394.4034,122.1921,394.4034,122.1921,0,0,-1.0000,-1.0000,
baseline,0,3,6,368.5594,117.5401,368.5594,117.5401,0,0,-1.0000,-1.0000,
baseline,0,3,7,361.0556,77.7255,361.0556,77.7255,0,0,-1.0000,-1.0000,
baseline,0,3,8,378.3714,93.7482,378.3714,93.7482,0,0,-1.0000,-1.0000,
A4,0,3,0,410.4077,103.0919,410.4077,103.0919,119,119,0.5368,0.4299,
A4,0,3,1,345.0909,91.1911,345.0909,91.1911,119,119,0.5665,0.3997,
A4,0,3,2,370.6611,97.4126,370.6611,97.4126,119,119,0.4289,0.3475,
A4,0,3,3,405.9328,90.1238,405.9328,90.1238,119,119,0.5561,0.4581,
A4,0,3,4,370.5307,71.4859,370.5307,71.4859,119,119,0.5977,0.5030,
A4,0,3,5,394.4034,122.1921,394.4034,122.1921,119,119,0.6096,0.5936,
A4,0,3,6,368.5594,117.5401,368.5594,117.5401,119,119,0.5940,0.4931,
A4,0,3,7,361.0556,77.7255,361.0556,77.7255,119,119,0.4727,0.4338,
A4,0,3,8,378.3714,93.7482,378.3714,93.7482,119,119,0.3061,0.2483,
A6,0,3,0,410.4077,103.0919,410.4077,103.0919,119,119,0.5368,0.4299,
A6,0,3,1,345.0909,91.1911,345.0909,91.1911,119,119,0.5665,0.3997,
A6,0,3,2,370.6611,97.4126,370.6611,97.4126,119,119,0.4289,0.3475,
A6,0,3,3,405.9328,90.1238,405.9328,90.1238,119,119,0.5561,0.4581,
A6,0,3,4,370.5307,71.4859,370.5307,71.4859,119,119,0.5977,0.5030,
A6,0,3,5,394.4034,122.1921,394.4034,122.1921,119,119,0.6096,0.5936,
A6,0,3,6,368.5594,117.5401,368.5594,117.5401,119,119,0.5940,0.4931,
A6,0,3,7,361.0556,77.7255,361.0556,77.7255,119,119,0.4727,0.4338,
A6,0,3,8,378.3714,93.7482,378.3714,93.7482,119,119,0.3061,0.2483,
B4,0,3,0,410.4077,103.0919,410.4111,103.0951,119,119,0.5368,0.4299,
B4,0,3,1,345.0909,91.1911,345.1171,91.1837,119,119,0.5665,0.3997,
B4,0,3,2,370.6611,97.4126,370.6620,97.4133,119,119,0.4289,0.3475,
B4,0,3,3,405.9328,90.1238,405.9394,90.1274,119,119,0.5561,0.4581,
B4,0,3,4,370.5307,71.4859,370.5293,71.4801,119,119,0.5977,0.5030,
B4,0,3,5,394.4034,122.1921,394.4050,122.1980,119,119,0.6096,0.5936,
B4,0,3,6,368.5594,117.5401,368.5487,117.5401,119,119,0.5940,0.4931,
B4,0,3,7,361.0556,77.7255,361.0517,77.7222,119,119,0.4727,0.4338,
B4,0,3,8,378.3714,93.7482,378.3706,93.7453,119,119,0.3061,0.2483,
baseline,0,4,0,362.8437,128.7891,362.8437,128.7891,0,0,-1.0000,-1.0000,
baseline,0,4,1,293.8988,114.3131,293.8988,114.3131,0,0,-1.0000,-1.0000,
baseline,0,4,2,323.5737,118.2961,323.5737,118.2961,0,0,-1.0000,-1.0000,
baseline,0,4,3,357.4962,119.4141,357.4962,119.4141,0,0,-1.0000,-1.0000,
baseline,0,4,4,321.4525,97.0395,321.4525,97.0395,0,0,-1.0000,-1.0000,
baseline,0,4,5,344.5807,148.4680,344.5807,148.4680,0,0,-1.0000,-1.0000,
baseline,0,4,6,318.3726,141.0411,318.3726,141.0411,0,0,-1.0000,-1.0000,
baseline,0,4,7,312.9040,100.5816,312.9040,100.5816,0,0,-1.0000,-1.0000,
baseline,0,4,8,329.4052,119.1292,329.4052,119.1292,0,0,-1.0000,-1.0000,
A4,0,4,0,362.8437,128.7891,362.8437,128.7891,107,107,0.5389,0.4776,
A4,0,4,1,293.8988,114.3131,293.8988,114.3131,107,107,0.5658,0.3875,
A4,0,4,2,323.5737,118.2961,323.5737,118.2961,107,107,0.3801,0.2444,
A4,0,4,3,357.4962,119.4141,357.4962,119.4141,107,107,0.7143,0.5915,
A4,0,4,4,321.4525,97.0395,321.4525,97.0395,107,107,0.6370,0.6421,
A4,0,4,5,344.5807,148.4680,344.5807,148.4680,107,107,0.4591,0.3161,
A4,0,4,6,318.3726,141.0411,318.3726,141.0411,107,107,0.5600,0.4596,
A4,0,4,7,312.9040,100.5816,312.9040,100.5816,107,107,0.6388,0.4389,
A4,0,4,8,329.4052,119.1292,329.4052,119.1292,107,107,0.4065,0.3044,
A6,0,4,0,362.8437,128.7891,362.8437,128.7891,107,107,0.5389,0.4776,
A6,0,4,1,293.8988,114.3131,293.8988,114.3131,107,107,0.5658,0.3875,
A6,0,4,2,323.5737,118.2961,323.5737,118.2961,107,107,0.3801,0.2444,
A6,0,4,3,357.4962,119.4141,357.4962,119.4141,107,107,0.7143,0.5915,
A6,0,4,4,321.4525,97.0395,321.4525,97.0395,107,107,0.6370,0.6421,
A6,0,4,5,344.5807,148.4680,344.5807,148.4680,107,107,0.4591,0.3161,
A6,0,4,6,318.3726,141.0411,318.3726,141.0411,107,107,0.5600,0.4596,
A6,0,4,7,312.9040,100.5816,312.9040,100.5816,107,107,0.6388,0.4389,
A6,0,4,8,329.4052,119.1292,329.4052,119.1292,107,107,0.4065,0.3044,
B4,0,4,0,362.8437,128.7891,362.8542,128.7926,107,107,0.5389,0.4776,
B4,0,4,1,293.8988,114.3131,293.8701,114.3195,107,107,0.5658,0.3875,
B4,0,4,2,323.5737,118.2961,323.5683,118.3011,107,107,0.3801,0.2444,
B4,0,4,3,357.4962,119.4141,357.4885,119.4185,107,107,0.7143,0.5915,
B4,0,4,4,321.4525,97.0395,321.4521,97.0346,107,107,0.6370,0.6421,
B4,0,4,5,344.5807,148.4680,344.5732,148.4585,107,107,0.4591,0.3161,
B4,0,4,6,318.3726,141.0411,318.3615,141.0424,107,107,0.5600,0.4596,
B4,0,4,7,312.9040,100.5816,312.8815,100.5858,107,107,0.6388,0.4389,
B4,0,4,8,329.4052,119.1292,329.4025,119.1250,107,107,0.4065,0.3044,
baseline,0,5,0,374.1119,93.0411,374.1119,93.0411,0,0,-1.0000,-1.0000,
baseline,0,5,1,302.6066,74.3818,302.6066,74.3818,0,0,-1.0000,-1.0000,
baseline,0,5,2,332.6908,79.0919,332.6908,79.0919,0,0,-1.0000,-1.0000,
baseline,0,5,3,370.1251,84.1226,370.1251,84.1226,0,0,-1.0000,-1.0000,
baseline,0,5,4,333.6546,58.7452,333.6546,58.7452,0,0,-1.0000,-1.0000,
baseline,0,5,5,353.7616,113.2414,353.7616,113.2414,0,0,-1.0000,-1.0000,
baseline,0,5,6,326.4044,102.9451,326.4044,102.9451,0,0,-1.0000,-1.0000,
baseline,0,5,7,323.5543,60.5926,323.5543,60.5926,0,0,-1.0000,-1.0000,
baseline,0,5,8,340.0849,81.2297,340.0849,81.2297,0,0,-1.0000,-1.0000,
A4,0,5,0,374.1119,93.0411,374.1119,93.0411,100,100,0.4966,0.3047,
A4,0,5,1,302.6066,74.3818,302.6066,74.3818,100,100,0.6812,0.4796,
A4,0,5,2,332.6908,79.0919,332.6908,79.0919,100,100,0.4111,0.2836,
A4,0,5,3,370.1251,84.1226,370.1251,84.1226,100,100,0.5555,0.3858,
A4,0,5,4,333.6546,58.7452,333.6546,58.7452,100,100,0.7514,0.6618,
A4,0,5,5,353.7616,113.2414,353.7616,113.2414,100,100,0.5527,0.4523,
A4,0,5,6,326.4044,102.9451,326.4044,102.9451,100,100,0.6443,0.5499,
A4,0,5,7,323.5543,60.5926,323.5543,60.5926,100,100,0.7449,0.6880,
A4,0,5,8,340.0849,81.2297,340.0849,81.2297,100,100,0.3412,0.2480,
A6,0,5,0,374.1119,93.0411,374.1119,93.0411,100,100,0.4966,0.3047,
A6,0,5,1,302.6066,74.3818,302.6066,74.3818,100,100,0.6812,0.4796,
A6,0,5,2,332.6908,79.0919,332.6908,79.0919,100,100,0.4111,0.2836,
A6,0,5,3,370.1251,84.1226,370.1251,84.1226,100,100,0.5555,0.3858,
A6,0,5,4,333.6546,58.7452,333.6546,58.7452,100,100,0.7514,0.6618,
A6,0,5,5,353.7616,113.2414,353.7616,113.2414,100,100,0.5527,0.4523,
A6,0,5,6,326.4044,102.9451,326.4044,102.9451,100,100,0.6443,0.5499,
A6,0,5,7,323.5543,60.5926,323.5543,60.5926,100,100,0.7449,0.6880,
A6,0,5,8,340.0849,81.2297,340.0849,81.2297,100,100,0.3412,0.2480,
B4,0,5,0,374.1119,93.0411,374.0894,93.0470,100,100,0.4966,0.3047,
B4,0,5,1,302.6066,74.3818,302.6579,74.3839,100,100,0.6812,0.4796,
B4,0,5,2,332.6908,79.0919,332.6955,79.0947,100,100,0.4111,0.2836,
B4,0,5,3,370.1251,84.1226,370.1089,84.1193,100,100,0.5555,0.3858,
B4,0,5,4,333.6546,58.7452,333.6477,58.7433,100,100,0.7514,0.6618,
B4,0,5,5,353.7616,113.2414,353.7564,113.2450,100,100,0.5527,0.4523,
B4,0,5,6,326.4044,102.9451,326.3865,102.9543,100,100,0.6443,0.5499,
B4,0,5,7,323.5543,60.5926,323.5501,60.5800,100,100,0.7449,0.6880,
B4,0,5,8,340.0849,81.2297,340.0824,81.2306,100,100,0.3412,0.2480,
baseline,0,6,0,361.4778,115.5159,361.4778,115.5159,0,0,-1.0000,-1.0000,
baseline,0,6,1,291.9639,98.1004,291.9639,98.1004,0,0,-1.0000,-1.0000,
baseline,0,6,2,321.4390,101.7626,321.4390,101.7626,0,0,-1.0000,-1.0000,
baseline,0,6,3,355.7755,107.2838,355.7755,107.2838,0,0,-1.0000,-1.0000,
baseline,0,6,4,320.8428,83.0642,320.8428,83.0642,0,0,-1.0000,-1.0000,
baseline,0,6,5,341.0849,135.1509,341.0849,135.1509,0,0,-1.0000,-1.0000,
baseline,0,6,6,315.2894,124.9994,315.2894,124.9994,0,0,-1.0000,-1.0000,
baseline,0,6,7,312.5498,84.8580,312.5498,84.8580,0,0,-1.0000,-1.0000,
baseline,0,6,8,327.4715,104.3830,327.4715,104.3830,0,0,-1.0000,-1.0000,
A4,0,6,0,361.4778,115.5159,361.4778,115.5159,111,111,0.5139,0.3611,
A4,0,6,1,291.9639,98.1004,291.9639,98.1004,111,111,0.6612,0.5456,
A4,0,6,2,321.4390,101.7626,321.4390,101.7626,111,111,0.4941,0.3887,
A4,0,6,3,355.7755,107.2838,355.7755,107.2838,111,111,0.6139,0.4541,
A4,0,6,4,320.8428,83.0642,320.8428,83.0642,111,111,0.6643,0.6504,
A4,0,6,5,341.0849,135.1509,341.0849,135.1509,111,111,0.5500,0.4213,
A4,0,6,6,315.2894,124.9994,315.2894,124.9994,111,111,0.5892,0.5083,
A4,0,6,7,312.5498,84.8580,312.5498,84.8580,111,111,0.5740,0.4436,
A4,0,6,8,327.4715,104.3830,327.4715,104.3830,111,111,0.4126,0.3500,
A6,0,6,0,361.4778,115.5159,361.4778,115.5159,111,111,0.5139,0.3611,
A6,0,6,1,291.9639,98.1004,291.9639,98.1004,111,111,0.6612,0.5456,
A6,0,6,2,321.4390,101.7626,321.4390,101.7626,111,111,0.4941,0.3887,
A6,0,6,3,355.7755,107.2838,355.7755,107.2838,111,111,0.6139,0.4541,
A6,0,6,4,320.8428,83.0642,320.8428,83.0642,111,111,0.6643,0.6504,
A6,0,6,5,341.0849,135.1509,341.0849,135.1509,111,111,0.5500,0.4213,
A6,0,6,6,315.2894,124.9994,315.2894,124.9994,111,111,0.5892,0.5083,
A6,0,6,7,312.5498,84.8580,312.5498,84.8580,111,111,0.5740,0.4436,
A6,0,6,8,327.4715,104.3830,327.4715,104.3830,111,111,0.4126,0.3500,
B4,0,6,0,361.4778,115.5159,361.4730,115.5292,111,111,0.5139,0.3611,
B4,0,6,1,291.9639,98.1004,292.0156,98.1034,111,111,0.6612,0.5456,
B4,0,6,2,321.4390,101.7626,321.4442,101.7665,111,111,0.4941,0.3887,
B4,0,6,3,355.7755,107.2838,355.7632,107.2818,111,111,0.6139,0.4541,
B4,0,6,4,320.8428,83.0642,320.8368,83.0624,111,111,0.6643,0.6504,
B4,0,6,5,341.0849,135.1509,341.0758,135.1561,111,111,0.5500,0.4213,
B4,0,6,6,315.2894,124.9994,315.2810,125.0038,111,111,0.5892,0.5083,
B4,0,6,7,312.5498,84.8580,312.5326,84.8523,111,111,0.5740,0.4436,
B4,0,6,8,327.4715,104.3830,327.4740,104.3853,111,111,0.4126,0.3500,
baseline,0,7,0,347.9084,125.6001,347.9084,125.6001,0,0,-1.0000,-1.0000,
baseline,0,7,1,280.9622,109.2470,280.9622,109.2470,0,0,-1.0000,-1.0000,
baseline,0,7,2,309.3034,112.2980,309.3034,112.2980,0,0,-1.0000,-1.0000,
baseline,0,7,3,342.7017,118.8989,342.7017,118.8989,0,0,-1.0000,-1.0000,
baseline,0,7,4,309.8734,95.3965,309.8734,95.3965,0,0,-1.0000,-1.0000,
baseline,0,7,5,328.2605,144.8223,328.2605,144.8223,0,0,-1.0000,-1.0000,
baseline,0,7,6,303.2359,135.1399,303.2359,135.1399,0,0,-1.0000,-1.0000,
baseline,0,7,7,300.7442,96.2407,300.7442,96.2407,0,0,-1.0000,-1.0000,
baseline,0,7,8,315.7143,115.4832,315.7143,115.4832,0,0,-1.0000,-1.0000,
A4,0,7,0,347.9084,125.6001,347.9084,125.6001,95,95,0.5495,0.3577,
A4,0,7,1,280.9622,109.2470,280.9622,109.2470,95,95,0.5992,0.4362,
A4,0,7,2,309.3034,112.2980,309.3034,112.2980,95,95,0.3745,0.2742,
A4,0,7,3,342.7017,118.8989,342.7017,118.8989,95,95,0.5352,0.4666,
A4,0,7,4,309.8734,95.3965,309.8734,95.3965,95,95,0.5682,0.5678,
A4,0,7,5,328.2605,144.8223,328.2605,144.8223,95,95,0.4966,0.3294,
A4,0,7,6,303.2359,135.1399,303.2359,135.1399,95,95,0.5261,0.4721,
A4,0,7,7,300.7442,96.2407,300.7442,96.2407,95,95,0.5832,0.4307,
A4,0,7,8,315.7143,115.4832,315.7143,115.4832,95,95,0.3216,0.2224,
A6,0,7,0,347.9084,125.6001,347.9084,125.6001,95,95,0.5495,0.3577,
A6,0,7,1,280.9622,109.2470,280.9622,109.2470,95,95,0.5992,0.4362,
A6,0,7,2,309.3034,112.2980,309.3034,112.2980,95,95,0.3745,0.2742,
A6,0,7,3,342.7017,118.8989,342.7017,118.8989,95,95,0.5352,0.4666,
A6,0,7,4,309.8734,95.3965,309.8734,95.3965,95,95,0.5682,0.5678,
A6,0,7,5,328.2605,144.8223,328.2605,144.8223,95,95,0.4966,0.3294,
A6,0,7,6,303.2359,135.1399,303.2359,135.1399,95,95,0.5261,0.4721,
A6,0,7,7,300.7442,96.2407,300.7442,96.2407,95,95,0.5832,0.4307,
A6,0,7,8,315.7143,115.4832,315.7143,115.4832,95,95,0.3216,0.2224,
B4,0,7,0,347.9084,125.6001,347.8904,125.6087,95,95,0.5495,0.3577,
B4,0,7,1,280.9622,109.2470,280.9139,109.2467,95,95,0.5992,0.4362,
B4,0,7,2,309.3034,112.2980,309.3063,112.2991,95,95,0.3745,0.2742,
B4,0,7,3,342.7017,118.8989,342.7004,118.8982,95,95,0.5352,0.4666,
B4,0,7,4,309.8734,95.3965,309.8712,95.3992,95,95,0.5682,0.5678,
B4,0,7,5,328.2605,144.8223,328.2489,144.7986,95,95,0.4966,0.3294,
B4,0,7,6,303.2359,135.1399,303.2345,135.1438,95,95,0.5261,0.4721,
B4,0,7,7,300.7442,96.2407,300.7325,96.2264,95,95,0.5832,0.4307,
B4,0,7,8,315.7143,115.4832,315.7149,115.4847,95,95,0.3216,0.2224,
baseline,0,8,0,316.8664,129.8343,316.8664,129.8343,0,0,-1.0000,-1.0000,
baseline,0,8,1,249.2784,127.1852,249.2784,127.1852,0,0,-1.0000,-1.0000,
baseline,0,8,2,278.3725,121.3643,278.3725,121.3643,0,0,-1.0000,-1.0000,
baseline,0,8,3,311.7137,127.7703,311.7137,127.7703,0,0,-1.0000,-1.0000,
baseline,0,8,4,275.9471,109.8446,275.9471,109.8446,0,0,-1.0000,-1.0000,
baseline,0,8,5,301.3539,152.2201,301.3539,152.2201,0,0,-1.0000,-1.0000,
baseline,0,8,6,274.9879,146.0524,274.9879,146.0524,0,0,-1.0000,-1.0000,
baseline,0,8,7,267.4287,110.3131,267.4287,110.3131,0,0,-1.0000,-1.0000,
baseline,0,8,8,284.6240,126.7524,284.6240,126.7524,0,0,-1.0000,-1.0000,
A4,0,8,0,316.8664,129.8343,316.8664,129.8343,102,102,0.6607,0.5766,
A4,0,8,1,249.2784,127.1852,249.2784,127.1852,102,102,0.8803,0.8910,
A4,0,8,2,278.3725,121.3643,278.3725,121.3643,102,102,0.5601,0.5198,
A4,0,8,3,311.7137,127.7703,311.7137,127.7703,102,102,0.7073,0.6096,
A4,0,8,4,275.9471,109.8446,275.9471,109.8446,102,102,0.5930,0.4754,
A4,0,8,5,301.3539,152.2201,301.3539,152.2201,102,102,0.7457,0.6317,
A4,0,8,6,274.9879,146.0524,274.9879,146.0524,102,102,0.6838,0.6097,
A4,0,8,7,267.4287,110.3131,267.4287,110.3131,102,102,0.6816,0.5655,
A4,0,8,8,284.6240,126.7524,284.6240,126.7524,102,102,0.3399,0.2652,
A6,0,8,0,316.8664,129.8343,316.8664,129.8343,102,102,0.6607,0.5766,
A6,0,8,1,249.2784,127.1852,249.2784,127.1852,102,102,0.8803,0.8910,
A6,0,8,2,278.3725,121.3643,278.3725,121.3643,102,102,0.5601,0.5198,
